"TAIR10.id","logFC","minusLOG10.adj.pVal"
"AT1G02560",0.133310653204444,0.885334009871807
"AT1G02610",-0.232124329731659,0.525460492087761
"AT1G02620",-1.25667678271178,0.495267417810534
"AT1G02630",0.0110737679634734,0.0053574497196109
"AT1G02640",0.0306180643045044,0.0991080647992931
"AT1G02650",0.40572532197176,0.466271398410287
"AT1G02660",-0.0607858286438292,0.146489431339652
"AT1G02670",0.388686389251361,0.533423753830216
"AT1G02680",-0.053894858690029,0.209948878058642
"AT1G02690",0.125423717263362,0.36736751396106
"AT1G02700",0.12709087856746,0.137606697498019
"AT1G02720",-0.0331712676602427,0.103683743427465
"AT1G02730",0.170279412991908,0.707872573123138
"AT1G02740",-0.138763709039686,0.739034813676859
"AT1G02750",0.229018161025831,1.92364427416829
"AT1G02770",0.42487321876663,0.339905027987625
"AT1G02780",-0.10112654784157,0.611240825280028
"AT1G02810",0.0931106522468601,0.144514238715286
"AT1G02816",0.278864850246945,1.57765911989615
"AT1G02820",0.182095042372132,0.664087086335702
"AT1G02840",0.0162442893754253,0.10163916121731
"AT1G02850",-0.173298441010024,0.354182032352308
"AT1G02860",-0.152541278633734,0.781810162201057
"AT1G02870",-0.0267827543298158,0.0798331892959194
"AT1G02880",0.00286128647516248,0.00944685888030013
"AT1G02890",-0.0423631811586045,0.186184274585826
"AT1G02900",0.195553660719174,1.08847155712976
"AT1G02910",-0.0749464546160477,0.47990683017555
"AT1G02920",-0.0884846319983739,0.102539418206307
"AT1G02930",-0.161996569961276,0.210755412827397
"AT1G02940",0.69489772723228,0.508204285824315
"AT1G02950",-0.226166333357719,0.415976132223441
"AT1G02960",-0.138299205019853,0.762016900349678
"AT1G02970",0.102922391774049,0.10637333017085
"AT1G02990",-0.0941385817106415,0.337842336685678
"AT1G03000",-0.0167537984731094,0.0697778328056618
"AT1G03010",-0.656596955167247,1.37541891810939
"AT1G03020",0.248385665804855,0.421017659945124
"AT1G03030",0.0145729652042013,0.0446021179052562
"AT1G03040",-0.0360514086171211,0.208943302145171
"AT1G03055",0.138754246029111,0.536698036990014
"AT1G03060",-0.1055497331396,0.277028103113876
"AT1G03070",0.44057400533879,0.947840290987421
"AT1G03080",-0.124080897139049,0.76669640915534
"AT1G03090",0.168105715345773,0.819437797436824
"AT1G03100",-0.114812813337078,0.205768679853097
"AT1G03110",0.0259886305086718,0.0886685917073236
"AT1G03130",0.135768826388356,0.6659608460967
"AT1G03140",-0.0296678489489377,0.159164006496607
"AT1G03150",0.116114934370677,0.576867943532416
"AT1G03160",0.0118351902841471,0.0729074311145329
"AT1G03170",0.00357560664699985,0.00459177221446327
"AT1G03180",0.168395977948526,0.479100936613508
"AT1G03190",-0.0511385451537705,0.19406575686065
"AT1G03200",-0.792767666312238,0.937958207623002
"AT1G03210",-0.0444848585643594,0.158396345337342
"AT1G03220",0.126256694137187,0.370675240005317
"AT1G03230",0.082105492083909,0.263076196285417
"AT1G03250",0.00231540935978813,0.0115081192353304
"AT1G03260",0.00106605553702366,0.00334042186190924
"AT1G03270",-0.271732593897765,0.565824837279642
"AT1G03280",0.0384134192348498,0.25866460328103
"AT1G03290",-0.117811299320662,0.718186412600045
"AT1G03300",0.0551000565375248,0.191774068954645
"AT1G03310",0.0668060491316531,0.319819248205693
"AT1G03320",0.234167281044423,0.119304387918374
"AT1G03330",-0.0670930209571647,0.352728229479143
"AT1G03340",0.21059465985413,0.267073962901395
"AT1G03350",-0.139481714858957,0.884977302519299
"AT1G03360",-0.0424251882585764,0.132319363742862
"AT1G03365",-0.0205528476738692,0.0907855522045986
"AT1G03370",-0.131185022863924,0.664425384538416
"AT1G03380",0.130868284649893,0.934421129577142
"AT1G03400",0.0964865658226555,0.618580043818478
"AT1G03410",-0.178844432964011,0.596718094262499
"AT1G03420",-0.157563345301413,0.602592174741806
"AT1G03430",0.18790332989987,0.864801684591827
"AT1G03440",0.407743650941021,1.16284153862913
"AT1G03445",-1.27209000935762,1.05687064392389
"AT1G03457",0.214805968638404,0.927658431697394
"AT1G03470",-0.181811037609837,0.382999045125851
"AT1G03475",0.125675209123443,0.868765255314244
"AT1G03510",0.061259883227793,0.082358573527959
"AT1G03520",-0.0355242309524737,0.143180363107227
"AT1G03530",-0.195384463077381,1.0084163202075
"AT1G03540",0.436950278551375,0.900975664162502
"AT1G03545",-0.0141673613585365,0.0204235398700533
"AT1G03550",-0.279400644293013,1.29837796054013
"AT1G03560",-0.177747454961636,0.861984134673364
"AT1G03580",0.0631653076748027,0.0813320291645699
"AT1G03590",-0.160750432068816,1.33548111250519
"AT1G03600",0.30196701596433,2.12499953501458
"AT1G03610",0.108343649311784,0.513752807004064
"AT1G03620",-0.557975680009338,0.940863933035172
"AT1G03630",0.0916193091960134,0.585039191686048
"AT1G03650",-0.0683610692653754,0.0817141046133341
"AT1G03680",0.269165791969182,2.67260407336789
"AT1G03687",0.00989876307208704,0.0294509007522745
"AT1G03700",-0.339593305015034,0.29950894321391
"AT1G03730",-0.221299846642067,0.661109587197175
"AT1G03740",-0.0215253534804507,0.0583102184227535
"AT1G03750",-0.181354081480856,0.714668492248723
"AT1G03760",-0.16161058016207,0.734588522657526
"AT1G03770",-0.064469168087983,0.191271316373834
"AT1G03780",0.336699078817959,0.984857510086608
"AT1G03790",0.959282555979096,0.89562948553766
"AT1G03800",-0.0334916292245127,0.0195168758005894
"AT1G03820",0.296500364009569,2.01660310746322
"AT1G03830",-0.0528749499302954,0.160854013776651
"AT1G03840",0.144930498630434,0.201913502341904
"AT1G03850",0.0153464999831252,0.0253909455983764
"AT1G03860",0.018671672236815,0.0584828091751981
"AT1G03870",0.416769108075819,2.36796560545545
"AT1G03900",-0.0870571649791172,0.668525995507786
"AT1G03905",-0.0786027924234181,0.19142465173676
